1489588859,139.2300,139.2500,139.2100,139.2500,32000
1489588861,139.2500,139.2700,139.2200,139.2292,98600
1489588920,139.2810,139.2900,139.2500,139.2500,20200
1489588982,139.2600,139.2900,139.2600,139.2900,16200
1489589046,139.2500,139.2700,139.2300,139.2600,18100
1489589100,139.1900,139.2500,139.1900,139.2500,47600
1489589165,139.2200,139.2400,139.1999,139.1999,24200
1489589222,139.1900,139.2300,139.1800,139.2100,22000
1489589339,139.1841,139.2100,139.1800,139.1900,20200
1489589341,139.1550,139.1899,139.1500,139.1899,55200
1489589401,139.1766,139.1800,139.1600,139.1637,12900
1489589460,139.1801,139.1900,139.1700,139.1800,23000
1489589579,139.1858,139.1900,139.1800,139.1800,13000
1489589580,139.1450,139.1862,139.1200,139.1800,50400
1489589641,139.1550,139.1600,139.1400,139.1500,13300
1489589700,139.1601,139.1700,139.1400,139.1500,24800
1489589763,139.2100,139.2150,139.1630,139.1650,55300
1489589823,139.2200,139.2400,139.2100,139.2100,21000
1489589880,139.2050,139.2300,139.2000,139.2250,18700
1489589940,139.2150,139.2300,139.2000,139.2100,26300
1489590059,139.2199,139.2300,139.2100,139.2100,14600
1489590061,139.2135,139.2300,139.2100,139.2200,8500
1489590179,139.1730,139.2300,139.1730,139.2144,33400
1489590180,139.2000,139.2100,139.1700,139.1700,21400
1489590240,139.1942,139.2100,139.1900,139.1900,10800
1489590301,139.2050,139.2100,139.1945,139.1945,11100
1489590364,139.2129,139.2300,139.2100,139.2100,27700
1489590426,139.1846,139.2200,139.1800,139.2189,16400
1489590539,139.2300,139.2300,139.1890,139.1900,17600
1489590540,139.2400,139.2400,139.2201,139.2300,21700
